2025-05-09 14:32:28 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-09 18:32:59 | TracerPid检测 | 检测到调试器 | 置信度: 100% | 可靠性: 高
2025-05-09 18:32:59 | 警告: 检测到调试器! 置信度: 100% | 检测方法: TracerPid检测
2025-05-09 18:33:04 | TracerPid检测 | 检测到调试器 | 置信度: 100% | 可靠性: 高
2025-05-09 18:33:04 | 警告: 检测到调试器! 置信度: 100% | 检测方法: TracerPid检测
2025-05-09 18:33:09 | TracerPid检测 | 检测到调试器 | 置信度: 100% | 可靠性: 高
2025-05-09 18:33:09 | 警告: 检测到调试器! 置信度: 100% | 检测方法: TracerPid检测
2025-05-09 18:33:14 | TracerPid检测 | 检测到调试器 | 置信度: 100% | 可靠性: 高
2025-05-09 18:33:14 | 警告: 检测到调试器! 置信度: 100% | 检测方法: TracerPid检测
2025-05-10 00:32:44 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:44 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:44 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:44 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:44 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:32:44 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:32:44 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:32:44 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:44 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:44 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:32:44 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:32:44 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:32:49 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:49 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:49 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:32:49 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:32:49 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:32:54 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:54 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:54 | 虚拟化环境检测 | 检测到调试器 | 置信度: 26% | 可靠性: 中
2025-05-10 00:32:54 | 环境变量检测 | 未检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:32:54 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:32:59 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:59 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:32:59 | 环境变量检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:32:59 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:32:59 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:33:04 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:04 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:04 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:04 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:04 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:33:09 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:09 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:09 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:09 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:09 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:33:14 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:14 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:14 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:14 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:33:14 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:33:19 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:19 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:19 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:19 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:19 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:33:24 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:24 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:24 | 虚拟化环境检测 | 检测到调试器 | 置信度: 26% | 可靠性: 中
2025-05-10 00:33:24 | 父进程检测 | 未检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:33:24 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:33:29 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:29 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:29 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:29 | 环境变量检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:29 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:33:34 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:34 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:34 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:34 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:33:34 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:33:39 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:39 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:39 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:39 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:39 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:33:44 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:44 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:44 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:44 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:33:44 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:33:50 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:50 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:50 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:50 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:50 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:33:55 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:55 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:33:55 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:33:55 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:33:55 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:34:00 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:00 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:00 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:00 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:34:00 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:34:05 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:05 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:05 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:05 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:05 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:34:10 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:10 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:10 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:10 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:10 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:34:15 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:15 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:15 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:15 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:15 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:34:20 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:20 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:20 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:20 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:20 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:34:25 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:25 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:25 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:25 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:25 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:34:30 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:30 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:30 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:30 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:30 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:34:35 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:35 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:35 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:35 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:34:35 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:34:40 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:40 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:40 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:40 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:40 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:34:45 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:45 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:45 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:45 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:45 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:34:50 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:50 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:50 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:50 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:50 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:34:55 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:55 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:34:55 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:55 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:34:55 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:35:00 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:00 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:00 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:01 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:01 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:35:06 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:06 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:06 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:06 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:35:06 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:35:11 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:11 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:11 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:11 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:35:11 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:35:16 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:16 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:16 | 环境变量检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:16 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:16 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:35:21 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:21 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:21 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:21 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:21 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:35:26 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:26 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:26 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:26 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:26 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:35:31 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:31 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:31 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:31 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:35:31 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:35:36 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:36 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:36 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:36 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:36 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:35:41 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:41 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:41 | 环境变量检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:41 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:41 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:35:46 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:46 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:46 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:46 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:46 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:35:51 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:51 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:51 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:51 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:35:51 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:35:56 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:56 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:35:56 | 虚拟化环境检测 | 检测到调试器 | 置信度: 26% | 可靠性: 中
2025-05-10 00:35:56 | 进程等待通道检测 | 未检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:35:56 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:36:01 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:36:01 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:36:01 | 环境变量检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:36:01 | 虚拟化环境检测 | 检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:36:01 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:36:06 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:36:06 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:36:06 | 环境变量检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:36:06 | 进程状态检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:36:06 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:36:11 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:36:11 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:36:11 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:36:11 | 进程等待通道检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:36:11 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:36:16 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:36:16 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:36:16 | 父进程检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:36:17 | 内存映射检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 中
2025-05-10 00:36:17 | 执行时间检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 低
2025-05-10 00:36:22 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:36:22 | PTRACE检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
2025-05-10 00:36:22 | 虚拟化环境检测 | 检测到调试器 | 置信度: 26% | 可靠性: 中
2025-05-10 00:36:22 | 父进程检测 | 未检测到调试器 | 置信度: 13% | 可靠性: 中
2025-05-10 00:36:22 | 执行时间检测 | 未检测到调试器 | 置信度: 12% | 可靠性: 低
2025-05-10 00:36:27 | TracerPid检测 | 未检测到调试器 | 置信度: 0% | 可靠性: 高
